,date,institutions,mobile_banking_contracts
0,3/1/2016,Banorte,174779
1,3/1/2016,Instituciones de banca múltiple,10248023
2,3/1/2016,Banco Inbursa,230546
3,3/1/2016,Banamex,6402661
4,3/1/2016,BBVA Bancomer,3396127
0,6/1/2016,Banorte,201048
1,6/1/2016,Instituciones de banca múltiple,11270077
2,6/1/2016,Banco Inbursa,234338
3,6/1/2016,Banamex,7178928
4,6/1/2016,BBVA Bancomer,3596700
0,9/1/2016,Banorte,218731
1,9/1/2016,Instituciones de banca múltiple,12279800
2,9/1/2016,Banco Inbursa,182981
3,9/1/2016,Banamex,8073951
4,9/1/2016,BBVA Bancomer,3691241
0,12/1/2016,Banorte,194157
1,12/1/2016,Instituciones de banca múltiple,13511393
2,12/1/2016,Banco Inbursa,170325
3,12/1/2016,Banamex,8820579
4,12/1/2016,BBVA Bancomer,4130122
0,3/1/2017,Banorte,109461
1,3/1/2017,Instituciones de banca múltiple,11835152
2,3/1/2017,Banco Inbursa,157781
3,3/1/2017,Banamex,6481502
4,3/1/2017,BBVA Bancomer,4790926
0,6/1/2017,Banorte,54376
1,6/1/2017,Instituciones de banca múltiple,13065173
2,6/1/2017,Banco Inbursa,159391
3,6/1/2017,Banamex,6992124
4,6/1/2017,BBVA Bancomer,5368773
0,9/1/2017,Banorte,20845
1,9/1/2017,Instituciones de banca múltiple,14433930
2,9/1/2017,Banco Inbursa,161963
3,9/1/2017,Banamex,7501794
4,9/1/2017,BBVA Bancomer,6042265
0,12/1/2017,Banorte,20845
1,12/1/2017,Instituciones de banca múltiple,15220629
2,12/1/2017,Banco Inbursa,109927
3,12/1/2017,Banamex,8004856
4,12/1/2017,BBVA Bancomer,6226904
0,3/1/2018,Banorte,362006
1,3/1/2018,Instituciones de banca múltiple,16596372
2,3/1/2018,Banco Inbursa,107482
3,3/1/2018,Banamex,8571631
4,3/1/2018,BBVA Bancomer,6652144
0,6/1/2018,Banorte,495501
1,6/1/2018,Instituciones de banca múltiple,21614376
2,6/1/2018,Banco Inbursa,108745
3,6/1/2018,Santander México,3273988
4,6/1/2018,Banamex,9174430
5,6/1/2018,BBVA Bancomer,7391262
0,9/1/2018,Banorte,710482
1,9/1/2018,Instituciones de banca múltiple,25396713
2,9/1/2018,Banco Inbursa,73426
3,9/1/2018,Santander México,3546876
4,9/1/2018,Banamex,9759010
5,9/1/2018,BBVA Bancomer,8045420
0,12/1/2018,Banorte,866918
1,12/1/2018,Instituciones de banca múltiple,27935479
2,12/1/2018,Banco Inbursa,78383
3,12/1/2018,Santander México,3960818
4,12/1/2018,Banamex,10317990
5,12/1/2018,BBVA Bancomer,8617824
0,3/1/2019,Banorte,972822
1,3/1/2019,Instituciones de banca múltiple,29317467
2,3/1/2019,Banco Inbursa,81152
3,3/1/2019,Santander México,2792794
4,3/1/2019,Banamex,10724890
5,3/1/2019,BBVA Bancomer,9558578
0,6/1/2019,Banorte,1074245
1,6/1/2019,Instituciones de banca múltiple,32446045
2,6/1/2019,Banco Inbursa,86054
3,6/1/2019,Santander México,3105495
4,6/1/2019,Banamex,11292912
5,6/1/2019,BBVA Bancomer,10527114
0,9/1/2019,Banorte,1146449
1,9/1/2019,Instituciones de banca múltiple,35892305
2,9/1/2019,Banco Inbursa,90878
3,9/1/2019,Santander México,3434572
4,9/1/2019,Banamex,11951420
5,9/1/2019,BBVA Bancomer,11763992
0,12/1/2019,Banorte,1347125
1,12/1/2019,Instituciones de banca múltiple,39049047
2,12/1/2019,Banco Inbursa,99783
3,12/1/2019,Santander México,3814371
4,12/1/2019,Banamex,12503940
5,12/1/2019,BBVA Bancomer,12351406
